state,state_code,county_code,county,date,timezone,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage,f_scale,length,width,latitude,longitude
ARKANSAS,5,17,CHICOT,21-DEC-13 16:58:00,CST-6,0,0,0,0,100.00K,EF1,0.85,440,33.55,-91.24
CALIFORNIA,6,103,TEHAMA,19-FEB-13 13:28:00,PST-8,0,0,0,0,20.00K,EF0,0.5,50,40.05,-122.14
CALIFORNIA,6,11,COLUSA,19-FEB-13 14:00:00,PST-8,0,0,0,0,0.00K,EF0,0.26,50,39.24,-122.26
CALIFORNIA,6,103,TEHAMA,04-APR-13 17:59:00,PST-8,0,0,0,0,0.00K,EF0,0.82,50,40.15,-122.22
CALIFORNIA,6,29,KERN,06-MAY-13 18:10:00,PST-8,0,0,0,0,0.00K,EF0,0.44,15,35.38,-119.05
CALIFORNIA,6,71,SAN BERNARDINO,18-AUG-13 13:00:00,PST-8,0,0,0,0,0.00K,EF0,1.02,3,,
COLORADO,8,63,KIT CARSON,08-APR-13 17:17:00,MST-7,0,0,0,0,0.00K,EF0,0.1,10,39.57,-102.1
COLORADO,8,121,WASHINGTON,08-APR-13 18:24:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,40.16,-103.4
COLORADO,8,121,WASHINGTON,08-APR-13 18:42:00,MST-7,0,0,0,0,0.00K,EF0,0.2,50,39.96,-103.32
COLORADO,8,121,WASHINGTON,08-APR-13 19:51:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,40.16,-103.36
COLORADO,8,99,PROWERS,08-MAY-13 12:54:00,MST-7,0,0,0,0,0.00K,EF0,0.1,75,38.1,-102.43
COLORADO,8,3,ALAMOSA,20-MAY-13 15:53:00,MST-7,0,0,0,0,0.00K,EF0,0.1,75,37.68,-106.01
COLORADO,8,17,CHEYENNE,27-MAY-13 14:38:00,MST-7,0,0,0,0,0.00K,EF0,0.25,50,38.94,-102.17
COLORADO,8,17,CHEYENNE,27-MAY-13 14:49:00,MST-7,0,0,0,0,0.00K,EF0,0.25,50,38.94,-102.17
COLORADO,8,17,CHEYENNE,27-MAY-13 15:37:00,MST-7,0,0,0,0,0.00K,EF0,0.25,50,38.92,-102.35
COLORADO,8,103,RIO BLANCO,29-MAY-13 08:50:00,MST-7,0,0,0,0,0.00K,EF0,1,40,40.2,-108.33
COLORADO,8,89,OTERO,04-JUN-13 16:13:00,MST-7,0,0,0,0,0.00K,EF0,2.19,100,37.69,-103.53
COLORADO,8,73,LINCOLN,04-JUN-13 16:53:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,38.62,-103.58
COLORADO,8,121,WASHINGTON,13-JUN-13 16:53:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,39.92,-102.9
COLORADO,8,121,WASHINGTON,13-JUN-13 17:15:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,40.26,-103.21
COLORADO,8,121,WASHINGTON,13-JUN-13 17:32:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,40.36,-103.1
COLORADO,8,63,KIT CARSON,17-JUN-13 15:49:00,MST-7,0,0,0,0,0.00K,EF0,0.25,50,39.16,-102.65
COLORADO,8,89,OTERO,17-JUN-13 16:34:00,MST-7,0,0,0,0,0.00K,EF0,6.04,100,38.07,-103.53
COLORADO,8,31,DENVER,18-JUN-13 13:21:00,MST-7,0,0,0,0,,EF1,2.4,75,39.83,-104.64
COLORADO,8,99,PROWERS,25-JUL-13 13:20:00,MST-7,0,0,0,0,0.00K,EF0,1.09,100,37.67,-102.38
COLORADO,8,9,BACA,25-JUL-13 14:09:00,MST-7,0,0,0,0,0.00K,EF0,1.1,75,37.51,-102.3
COLORADO,8,87,MORGAN,03-AUG-13 13:00:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,40.27,-103.79
COLORADO,8,121,WASHINGTON,03-AUG-13 14:37:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,39.61,-103.58
COLORADO,8,73,LINCOLN,03-AUG-13 15:07:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,39.39,-103.5
COLORADO,8,123,WELD,03-AUG-13 15:17:00,MST-7,0,0,0,0,5.00K,EF0,0.1,50,40.48,-104.74
COLORADO,8,123,WELD,03-AUG-13 15:29:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,40.39,-104.83
COLORADO,8,123,WELD,03-AUG-13 16:24:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,40.14,-104.55
COLORADO,8,123,WELD,03-AUG-13 16:40:00,MST-7,0,0,0,0,0.00K,EF0,0.1,50,40.05,-105.05
CONNECTICUT,9,1,FAIRFIELD,01-JUL-13 09:58:00,EST-5,0,0,0,0,0.00K,EF0,3.7,150,41.1,-73.63
CONNECTICUT,9,3,HARTFORD,01-JUL-13 12:28:00,EST-5,0,0,0,0,5.00M,EF1,2.07,200,41.9,-72.65
CONNECTICUT,9,3,HARTFORD,01-JUL-13 12:45:00,EST-5,0,0,0,0,25.00K,EF0,0.86,50,41.98,-72.52
CONNECTICUT,9,13,TOLLAND,10-JUL-13 16:20:00,EST-5,0,0,0,0,50.00K,EF1,10.87,100,41.72,-72.41
DELAWARE,10,3,NEW CASTLE,10-JUN-13 15:47:00,EST-5,0,0,0,0,,EF0,0.87,150,39.65,-75.74
FLORIDA,12,99,PALM BEACH,14-FEB-13 16:33:00,EST-5,0,0,0,0,1.00K,EF0,0.03,10,26.51,-80.08
FLORIDA,12,37,FRANKLIN,25-FEB-13 13:22:00,EST-5,0,0,0,0,0.00K,EF0,0.01,20,29.68,-84.88
FLORIDA,12,57,HILLSBOROUGH,26-FEB-13 11:12:00,EST-5,0,0,0,0,35.00K,EF0,0.73,50,27.94,-82.46
FLORIDA,12,87,MONROE,05-APR-13 01:10:00,EST-5,0,0,0,0,30.00K,EF0,1.56,80,24.64,-81.35
FLORIDA,12,37,FRANKLIN,14-APR-13 14:30:00,EST-5,0,0,0,0,20.00K,EF0,1.86,10,29.75,-84.89
FLORIDA,12,9,BREVARD,14-APR-13 19:42:00,EST-5,0,0,0,0,,EF0,0.33,100,28.38,-80.74
FLORIDA,12,9,BREVARD,14-APR-13 20:11:00,EST-5,0,0,0,0,,EF0,0.55,100,28.27,-80.75
FLORIDA,12,99,PALM BEACH,30-APR-13 12:56:00,EST-5,0,0,0,0,,EF0,0.14,10,26.58,-80.04
FLORIDA,12,99,PALM BEACH,02-MAY-13 12:25:00,EST-5,0,0,0,0,,EF0,0.4,50,26.38,-80.08
FLORIDA,12,109,ST. JOHNS,04-MAY-13 20:14:00,EST-5,0,0,0,0,500.00K,EF0,0.91,200,,
FLORIDA,12,99,PALM BEACH,06-JUN-13 02:18:00,EST-5,0,0,0,0,,EF0,0.62,25,26.67,-80.67
FLORIDA,12,99,PALM BEACH,06-JUN-13 05:45:00,EST-5,1,0,0,0,,EF1,2,100,26.78,-80.25
FLORIDA,12,11,BROWARD,06-JUN-13 07:05:00,EST-5,0,0,0,0,0.00K,EF0,8.02,25,26.22,-80.44
FLORIDA,12,99,PALM BEACH,06-JUN-13 07:20:00,EST-5,0,0,0,0,0.00K,EF0,6.43,25,26.33,-80.44
FLORIDA,12,103,PINELLAS,06-JUN-13 09:03:00,EST-5,0,0,0,0,20.00K,EF0,1.87,50,27.74,-82.71
FLORIDA,12,115,SARASOTA,06-JUN-13 10:13:00,EST-5,0,0,0,0,10.00K,EF0,1.64,50,27.03,-82.41
FLORIDA,12,71,LEE,06-JUN-13 13:05:00,EST-5,0,0,0,0,0.00K,EF0,0.26,30,26.75,-81.76
FLORIDA,12,81,MANATEE,06-JUN-13 13:49:00,EST-5,0,0,0,0,50.00K,EF0,1.51,50,27.33,-82.16
FLORIDA,12,57,HILLSBOROUGH,06-JUN-13 14:47:00,EST-5,0,0,0,0,36.00K,EF0,2.35,50,27.7,-82.34
FLORIDA,12,31,DUVAL,06-JUN-13 15:48:00,EST-5,0,0,0,0,,EF1,18.89,704,,
FLORIDA,12,121,SUWANNEE,06-JUN-13 16:07:00,EST-5,0,0,0,0,,EF0,3.17,100,,
FLORIDA,12,103,PINELLAS,24-JUN-13 19:24:00,EST-5,0,0,0,0,,EF0,1.91,10,27.87,-82.61
FLORIDA,12,103,PINELLAS,25-JUN-13 20:00:00,EST-5,0,0,0,0,2.00K,EF0,0.14,5,27.72,-82.73
FLORIDA,12,103,PINELLAS,01-JUL-13 16:50:00,EST-5,0,0,0,0,10.00K,EF0,0.06,20,,
FLORIDA,12,91,OKALOOSA,05-JUL-13 13:00:00,CST-6,0,0,0,0,5.00K,EF0,0.29,40,,
FLORIDA,12,81,MANATEE,09-JUL-13 17:33:00,EST-5,1,0,0,0,20.00K,EF0,0.23,15,,
FLORIDA,12,81,MANATEE,15-JUL-13 17:40:00,EST-5,0,0,0,0,0.00K,EF0,1.2,5,,
FLORIDA,12,11,BROWARD,19-JUL-13 14:45:00,EST-5,3,0,0,0,0.00K,EF0,0.1,10,26.24,-80.09
FLORIDA,12,109,ST. JOHNS,21-JUL-13 13:30:00,EST-5,0,0,0,0,,EF0,0.05,20,29.8,-81.55
FLORIDA,12,33,ESCAMBIA,22-JUL-13 17:30:00,CST-6,0,0,0,0,4.50K,EF0,0.01,30,,
FLORIDA,12,11,BROWARD,23-JUL-13 11:45:00,EST-5,0,0,0,0,10.00K,EF0,0.01,10,26.09,-80.17
FLORIDA,12,47,HAMILTON,31-JUL-13 18:35:00,EST-5,0,0,0,0,,EF0,0.01,10,30.42,-83.18
FLORIDA,12,31,DUVAL,01-AUG-13 15:15:00,EST-5,0,1,0,0,500.00K,EF1,1.93,100,30.35,-81.51
FLORIDA,12,99,PALM BEACH,16-SEP-13 10:10:00,EST-5,0,0,0,0,1.00K,EF0,0.07,10,,
